"Address","Content Type","Status Code","Status","HTTP Version","Indexability","Indexability Status","Canonical Link Element 1","Meta Robots 1","X-Robots-Tag 1"
"https://vouch-mobile-site-fz5pc.kinsta.page/coverage/missouri/","text/html","200","OK","1.1","Non-Indexable","Canonicalised","https://vouchmobile.com/coverage/missouri/","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/coverage/virginia/","text/html","200","OK","1.1","Non-Indexable","Canonicalised","https://vouchmobile.com/coverage/virginia/","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/images/florida-300w.jpeg","image/jpeg","200","OK","1.1","Indexable","","","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/coverage/west-virginia/","text/html","200","OK","1.1","Non-Indexable","Canonicalised","https://vouchmobile.com/coverage/west-virginia/","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/images/texas-300w.jpeg","image/jpeg","200","OK","1.1","Indexable","","","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/coverage/mississippi/","text/html","200","OK","1.1","Non-Indexable","Canonicalised","https://vouchmobile.com/coverage/mississippi/","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/coverage/louisiana/","text/html","200","OK","1.1","Non-Indexable","Canonicalised","https://vouchmobile.com/coverage/louisiana/","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/coverage/vermont/","text/html","200","OK","1.1","Non-Indexable","Canonicalised","https://vouchmobile.com/coverage/vermont/","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/coverage/nevada/","text/html","200","OK","1.1","Non-Indexable","Canonicalised","https://vouchmobile.com/coverage/nevada/","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/coverage/michigan/","text/html","200","OK","1.1","Non-Indexable","Canonicalised","https://vouchmobile.com/coverage/michigan/","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/images/coverage-hero-600w.jpeg","image/jpeg","200","OK","1.1","Indexable","","","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/coverage/texas/","text/html","200","OK","1.1","Non-Indexable","Canonicalised","https://vouchmobile.com/coverage/texas/","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/coverage/alabama/","text/html","200","OK","1.1","Non-Indexable","Canonicalised","https://vouchmobile.com/coverage/alabama/","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/coverage/new-york/","text/html","200","OK","1.1","Non-Indexable","Canonicalised","https://vouchmobile.com/coverage/new-york/","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/images/california-300w.jpeg","image/jpeg","200","OK","1.1","Indexable","","","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/coverage/illinois/","text/html","200","OK","1.1","Non-Indexable","Canonicalised","https://vouchmobile.com/coverage/illinois/","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/coverage/hawaii/","text/html","200","OK","1.1","Non-Indexable","Canonicalised","https://vouchmobile.com/coverage/hawaii/","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/coverage/colorado/","text/html","200","OK","1.1","Non-Indexable","Canonicalised","https://vouchmobile.com/coverage/colorado/","",""
"https://vouch-mobile-site-fz5pc.kinsta.page/coverage/montana/","text/html","200","OK","1.1","Non-Indexable","Canonicalised","https://vouchmobile.com/coverage/montana/","",""
